what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1447268419166
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1447268419167
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1447268419167
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1447268419167
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1447268419167
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1447268419167
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1447268419168
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1447268419168
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1447268419168
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1447268419168
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1447268419168
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1447268419168
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1447268419168
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1447268419168
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1447268419168
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1447268419168
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1447268419168
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1447268419168
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1447268419168
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1447268419169
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1447268419169
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1447268419169
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1447268419169
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1447268419169
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1447268419169
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1447268419170
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1447268419170
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1447268419170
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1447268419170
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1447268419170
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1447268419170
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1447268419170
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1447268419170
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1447268419170
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1447268419170
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1447268419170
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1447268419170
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1447268419170
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1447268419170
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1447268419170
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1447268419171
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1447268419171
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1447268419171
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1447268419171
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1447268419171
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1447268419171
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1447268419171
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1447268419171
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1447268419171
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1447268419171
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1447268419171
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1447268419171
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1447268419171
os,sysinfo,,,"win32",1447268419177
arch,sysinfo,,,"x86",1447268419177
ws,sysinfo,,,"win32",1447268419177
locale,sysinfo,,,"ru_RU",1447268419177
processors,sysinfo,,,"2",1447268419178
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1447268419178
java.runtime.version,sysinfo,,,"1.8.0_65-b17",1447268419178
java.specification.name,sysinfo,,,"Java Platform API Specification",1447268419178
java.specification.vendor,sysinfo,,,"Oracle Corporation",1447268419178
java.specification.version,sysinfo,,,"1.8",1447268419178
java.vendor,sysinfo,,,"Oracle Corporation",1447268419178
java.version,sysinfo,,,"1.8.0_65",1447268419178
java.vm.info,sysinfo,,,"mixed mode",1447268419178
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1447268419178
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1447268419178
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1447268419178
java.vm.specification.version,sysinfo,,,"1.8",1447268419178
java.vm.vendor,sysinfo,,,"Oracle Corporation",1447268419178
java.vm.version,sysinfo,,,"25.65-b01",1447268419178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268420551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268499279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268508807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268516185
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1447268519199
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1447268519205
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1447268519264
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1447268519307
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1447268519349
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1447268519371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268519601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268523211
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1447268523220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268532347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447268583400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447268647644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447268661465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268724425
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1447268724439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268729020
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268740950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.aboutAction",1447268740959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268743570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268747855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447268750630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447268765211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447268771981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447268859280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1447268868069
error,log,,,"Provisioning exception",1447269087807
error,log,,,"Provisioning exception",1447269424198
error,log,,,"Unable to connect to repository http://dl.google.com/eclipse/plugin/3.7/content.xml",1447269480521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269527504
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1447269527526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269535425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269620776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1447269620795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269633870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269744506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269751470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269770481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1447269770489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269772438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269790072
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1447269793084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269793888
error,log,,,"Unable to connect to repository http://dl.google.com/eclipse/plugin/3.7/content.xml",1447269817069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269961410
error,log,,,"Cannot install remote marketplace locations.: ",1447269961426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447269961724
error,log,,,"Unexpected exception",1447270035256
error,log,,,"Unexpected exception",1447270076976
error,log,,,"Unexpected exception",1447270087655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270090598
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1447270090611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270091741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270103784
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270117808
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1447270132137
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1447270135312
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1447270135359
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1447270135387
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1447270135811
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1447270135817
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1447270135846
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1447270135910
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1447270135994
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1447270136018
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1447270136069
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1447270136167
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1447270136553
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1447270136579
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1447270136893
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1447270136926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270137087
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1447270137185
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1447270137542
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1447270137858
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1447270142976
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1447270148618
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1447270149990
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1447270150088
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1447270150119
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1447270150142
error,log,,,"Provisioning exception",1447270153587
error,log,,,"Some sites could not be found.  See the error log for more detail.",1447270153589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270153604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270159924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270161248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270192049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270195591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270200449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270200532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270201737
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447270201888
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1447270202329
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1447270202352
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1447270202768
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1447270202768
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1447270202768
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1447270202768
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1447270202768
